Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCA_049744075.1_ASM4974407v1_genomic,GCA_049744095.1_ASM4974409v1_genomic,GCA_049744115.1_ASM4974411v1_genomic,GCA_049744195.1_ASM4974419v1_genomic,GCA_049744215.1_ASM4974421v1_genomic,GCA_049744235.1_ASM4974423v1_genomic,GCA_049744295.1_ASM4974429v1_genomic,GCA_049744305.1_ASM4974430v1_genomic,GCA_049744355.1_ASM4974435v1_genomic,GCA_049744415.1_ASM4974441v1_genomic,GCA_049744425.1_ASM4974442v1_genomic,GCA_049744475.1_ASM4974447v1_genomic,GCA_049744535.1_ASM4974453v1_genomic,GCA_049744555.1_ASM4974455v1_genomic,GCA_049744575.1_ASM4974457v1_genomic,GCA_049744655.1_ASM4974465v1_genomic,GCA_049744675.1_ASM4974467v1_genomic,GCA_049744695.1_ASM4974469v1_genomic,GCA_049744775.1_ASM4974477v1_genomic,GCA_049744795.1_ASM4974479v1_genomic,GCA_049744815.1_ASM4974481v1_genomic,GCA_049744875.1_ASM4974487v1_genomic,GCA_049744915.1_ASM4974491v1_genomic,GCA_049744935.1_ASM4974493v1_genomic,GCA_049744995.1_ASM4974499v1_genomic,GCA_049745015.1_ASM4974501v1_genomic,GCA_049745055.1_ASM4974505v1_genomic,GCA_049745115.1_ASM4974511v1_genomic,GCA_049745135.1_ASM4974513v1_genomic,GCA_049745155.1_ASM4974515v1_genomic,GCA_049745215.1_ASM4974521v1_genomic,GCA_049745255.1_ASM4974525v1_genomic,GCA_049745275.1_ASM4974527v1_genomic,GCA_049745315.1_ASM4974531v1_genomic,GCA_049745375.1_ASM4974537v1_genomic,GCA_049745395.1_ASM4974539v1_genomic
group_1484,,DUF2514 domain-containing protein,36,36,1.0,4,51,,,,489,489,489.0,PELDJG_10625,IDBKBP_10520,LPINFE_11385,ECBHDB_05365,DADOMI_07220,ELDHGE_10500,MDPJHN_10380,HFNKEK_11665,AIPMEA_10100,AKMJEK_10285,PAKNIB_10335,NPKKGL_10520,NCNPLN_12195,HICFFN_11650,PDGMNN_10515,LNCDGL_09285,MOCNOJ_10350,MBAGMH_10140,FCFEDA_12180,KIAGOF_11850,LGENEP_08400,BOACPM_10335,GEHLKP_10105,HGDNEH_12705,KDBOED_11935,CCFJDI_07645,OJCCDD_09510,MLAAMA_15240,OHBKOH_08265,CMGKAF_09890,BMJMLA_08455,OMOEPE_11220,CODKGK_09185,CMJGGH_10570,JAPNBN_09100,GMMDCK_08440
group_1483,,Phage holin family protein,36,36,1.0,4,50,,,,309,309,309.0,PELDJG_10615,IDBKBP_10510,LPINFE_11375,ECBHDB_05355,DADOMI_07210,ELDHGE_10490,MDPJHN_10370,HFNKEK_11655,AIPMEA_10090,AKMJEK_10275,PAKNIB_10325,NPKKGL_10510,NCNPLN_12185,HICFFN_11640,PDGMNN_10505,LNCDGL_09275,MOCNOJ_10340,MBAGMH_10130,FCFEDA_12170,KIAGOF_11840,LGENEP_08390,BOACPM_10325,GEHLKP_10095,HGDNEH_12695,KDBOED_11925,CCFJDI_07635,OJCCDD_09500,MLAAMA_15230,OHBKOH_08255,CMGKAF_09880,BMJMLA_08445,OMOEPE_11210,CODKGK_09175,CMJGGH_10560,JAPNBN_09090,GMMDCK_08430
group_1482,,VCBS repeat-containing protein,36,36,1.0,4,49,,,,309,309,309.0,PELDJG_10465,IDBKBP_10355,LPINFE_11220,ECBHDB_05205,DADOMI_07055,ELDHGE_10335,MDPJHN_10220,HFNKEK_11505,AIPMEA_09935,AKMJEK_10120,PAKNIB_10170,NPKKGL_10355,NCNPLN_12035,HICFFN_11485,PDGMNN_10355,LNCDGL_09120,MOCNOJ_10185,MBAGMH_09975,FCFEDA_12020,KIAGOF_11685,LGENEP_08240,BOACPM_10170,GEHLKP_09940,HGDNEH_12545,KDBOED_11775,CCFJDI_07485,OJCCDD_09350,MLAAMA_15080,OHBKOH_08105,CMGKAF_09730,BMJMLA_08295,OMOEPE_11055,CODKGK_09020,CMJGGH_10405,JAPNBN_08935,GMMDCK_08280
guaA,guaA,glutamine-hydrolyzing GMP synthase,36,36,1.0,4,48,,,,1578,1578,1578.0,PELDJG_10350,IDBKBP_10240,LPINFE_11105,ECBHDB_05090,DADOMI_06940,ELDHGE_10220,MDPJHN_10105,HFNKEK_11390,AIPMEA_09820,AKMJEK_10005,PAKNIB_10055,NPKKGL_10240,NCNPLN_11920,HICFFN_11370,PDGMNN_10240,LNCDGL_09005,MOCNOJ_10070,MBAGMH_09860,FCFEDA_11905,KIAGOF_11570,LGENEP_08125,BOACPM_10055,GEHLKP_09825,HGDNEH_12430,KDBOED_11660,CCFJDI_07370,OJCCDD_09235,MLAAMA_14965,OHBKOH_07990,CMGKAF_09615,BMJMLA_08180,OMOEPE_10940,CODKGK_08905,CMJGGH_10290,JAPNBN_08820,GMMDCK_08165
group_1481,dmsC,DMSO reductase anchor subunit DmsC,36,36,1.0,4,47,,,,810,810,810.0,PELDJG_10255,IDBKBP_10145,LPINFE_11010,ECBHDB_04995,DADOMI_06845,ELDHGE_10125,MDPJHN_10010,HFNKEK_11295,AIPMEA_09725,AKMJEK_09910,PAKNIB_09960,NPKKGL_10145,NCNPLN_11825,HICFFN_11275,PDGMNN_10145,LNCDGL_08910,MOCNOJ_09975,MBAGMH_09765,FCFEDA_11810,KIAGOF_11475,LGENEP_08030,BOACPM_09960,GEHLKP_09730,HGDNEH_12335,KDBOED_11565,CCFJDI_07275,OJCCDD_09140,MLAAMA_14870,OHBKOH_07895,CMGKAF_09520,BMJMLA_08085,OMOEPE_10845,CODKGK_08810,CMJGGH_10195,JAPNBN_08725,GMMDCK_08070
group_1480,,DUF2502 domain-containing protein,36,36,1.0,4,46,,,,327,327,327.0,PELDJG_11140,IDBKBP_11035,LPINFE_11905,ECBHDB_05885,DADOMI_07740,ELDHGE_11015,MDPJHN_10900,HFNKEK_12185,AIPMEA_10615,AKMJEK_10800,PAKNIB_10850,NPKKGL_11035,NCNPLN_12715,HICFFN_12165,PDGMNN_11030,LNCDGL_09800,MOCNOJ_10865,MBAGMH_10655,FCFEDA_12695,KIAGOF_12365,LGENEP_08920,BOACPM_10850,GEHLKP_10625,HGDNEH_13230,KDBOED_12455,CCFJDI_08165,OJCCDD_10030,MLAAMA_15765,OHBKOH_08785,CMGKAF_10410,BMJMLA_08975,OMOEPE_11705,CODKGK_24245,CMJGGH_11095,JAPNBN_09620,GMMDCK_08960
group_1479,uraA,uracil permease,36,36,1.0,4,45,,,,1290,1290,1290.0,PELDJG_10675,IDBKBP_10575,LPINFE_11440,ECBHDB_05420,DADOMI_07275,ELDHGE_10555,MDPJHN_10435,HFNKEK_11720,AIPMEA_10155,AKMJEK_10340,PAKNIB_10390,NPKKGL_10575,NCNPLN_12250,HICFFN_11705,PDGMNN_10570,LNCDGL_09340,MOCNOJ_10405,MBAGMH_10195,FCFEDA_12235,KIAGOF_11905,LGENEP_08455,BOACPM_10390,GEHLKP_10160,HGDNEH_12760,KDBOED_11990,CCFJDI_07700,OJCCDD_09565,MLAAMA_15295,OHBKOH_08320,CMGKAF_09945,BMJMLA_08510,OMOEPE_11235,CODKGK_09240,CMJGGH_10625,JAPNBN_09155,GMMDCK_08495
group_1478,,putative terminase small subunit,36,36,1.0,4,44,,,,594,594,594.0,PELDJG_10480,IDBKBP_10370,LPINFE_11235,ECBHDB_05220,DADOMI_07070,ELDHGE_10350,MDPJHN_10235,HFNKEK_11520,AIPMEA_09950,AKMJEK_10135,PAKNIB_10185,NPKKGL_10370,NCNPLN_12050,HICFFN_11500,PDGMNN_10370,LNCDGL_09135,MOCNOJ_10200,MBAGMH_09990,FCFEDA_12035,KIAGOF_11700,LGENEP_08255,BOACPM_10185,GEHLKP_09955,HGDNEH_12560,KDBOED_11790,CCFJDI_07500,OJCCDD_09365,MLAAMA_15095,OHBKOH_08120,CMGKAF_09745,BMJMLA_08310,OMOEPE_11070,CODKGK_09035,CMJGGH_10420,JAPNBN_08950,GMMDCK_08295
murQ,;murQ,hypothetical protein;N-acetylmuramic acid 6-phosphate etherase,36,36,1.0,4,43,,,,174,894,874.0,PELDJG_10030,IDBKBP_09920,LPINFE_10785,ECBHDB_04770,DADOMI_06620,ELDHGE_09900,MDPJHN_09785,HFNKEK_11070,AIPMEA_09500,AKMJEK_09685,PAKNIB_09735,NPKKGL_09920,NCNPLN_11600,HICFFN_11050,PDGMNN_09920,LNCDGL_08685,MOCNOJ_09750,MBAGMH_09540,FCFEDA_11585,KIAGOF_11250,LGENEP_07805,BOACPM_09735,GEHLKP_09505,HGDNEH_12110,KDBOED_11340,CCFJDI_07050,OJCCDD_08915,MLAAMA_14645,OHBKOH_07670,CMGKAF_09295,BMJMLA_07860,OMOEPE_19540,CODKGK_08585,CMJGGH_09970,JAPNBN_08500,GMMDCK_07845
group_1477,,Integrase;Tyr recombinase domain-containing protein,36,36,1.0,4,42,,,,1251,1254,1253.9166666666667,PELDJG_10355,IDBKBP_10245,LPINFE_11110,ECBHDB_05095,DADOMI_06945,ELDHGE_10225,MDPJHN_10110,HFNKEK_11395,AIPMEA_09825,AKMJEK_10010,PAKNIB_10060,NPKKGL_10245,NCNPLN_11925,HICFFN_11375,PDGMNN_10245,LNCDGL_09010,MOCNOJ_10075,MBAGMH_09865,FCFEDA_11910,KIAGOF_11575,LGENEP_08130,BOACPM_10060,GEHLKP_09830,HGDNEH_12435,KDBOED_11665,CCFJDI_07375,OJCCDD_09240,MLAAMA_14970,OHBKOH_07995,CMGKAF_09620,BMJMLA_08185,OMOEPE_10945,CODKGK_08910,CMJGGH_10295,JAPNBN_08825,GMMDCK_08170
group_1476,,Phage protein,36,36,1.0,4,41,,,,228,228,228.0,PELDJG_10400,IDBKBP_10290,LPINFE_11155,ECBHDB_05140,DADOMI_06990,ELDHGE_10270,MDPJHN_10155,HFNKEK_11440,AIPMEA_09870,AKMJEK_10055,PAKNIB_10105,NPKKGL_10290,NCNPLN_11970,HICFFN_11420,PDGMNN_10290,LNCDGL_09055,MOCNOJ_10120,MBAGMH_09910,FCFEDA_11955,KIAGOF_11620,LGENEP_08175,BOACPM_10105,GEHLKP_09875,HGDNEH_12480,KDBOED_11710,CCFJDI_07420,OJCCDD_09285,MLAAMA_15015,OHBKOH_08040,CMGKAF_09665,BMJMLA_08230,OMOEPE_10990,CODKGK_08955,CMJGGH_10340,JAPNBN_08870,GMMDCK_08215
ptsJ,ptsJ,transcriptional regulator PtsJ,36,36,1.0,4,40,,,,1293,1293,1293.0,PELDJG_10985,IDBKBP_10885,LPINFE_11750,ECBHDB_05730,DADOMI_07585,ELDHGE_10865,MDPJHN_10745,HFNKEK_12030,AIPMEA_10465,AKMJEK_10650,PAKNIB_10700,NPKKGL_10885,NCNPLN_12560,HICFFN_12015,PDGMNN_10880,LNCDGL_09650,MOCNOJ_10715,MBAGMH_10505,FCFEDA_12545,KIAGOF_12215,LGENEP_08765,BOACPM_10700,GEHLKP_10470,HGDNEH_13075,KDBOED_12300,CCFJDI_08010,OJCCDD_09875,MLAAMA_15610,OHBKOH_08630,CMGKAF_10255,BMJMLA_08820,OMOEPE_11550,CODKGK_09550,CMJGGH_10940,JAPNBN_09465,GMMDCK_08805
group_1475,,BRO-like protein,36,36,1.0,4,39,,,,702,702,702.0,PELDJG_10585,IDBKBP_10480,LPINFE_11345,ECBHDB_05325,DADOMI_07180,ELDHGE_10460,MDPJHN_10340,HFNKEK_11625,AIPMEA_10060,AKMJEK_10245,PAKNIB_10295,NPKKGL_10480,NCNPLN_12155,HICFFN_11610,PDGMNN_10475,LNCDGL_09245,MOCNOJ_10310,MBAGMH_10100,FCFEDA_12140,KIAGOF_11810,LGENEP_08360,BOACPM_10295,GEHLKP_10065,HGDNEH_12665,KDBOED_11895,CCFJDI_07605,OJCCDD_09470,MLAAMA_15200,OHBKOH_08225,CMGKAF_09850,BMJMLA_08415,OMOEPE_11180,CODKGK_09145,CMJGGH_10530,JAPNBN_09060,GMMDCK_08400
group_1474,,LPD22 domain-containing protein;Phage protein,36,36,1.0,4,38,,,,1803,1803,1803.0,PELDJG_10565,IDBKBP_10460,LPINFE_11325,ECBHDB_05305,DADOMI_07160,ELDHGE_10440,MDPJHN_10320,HFNKEK_11605,AIPMEA_10040,AKMJEK_10225,PAKNIB_10275,NPKKGL_10460,NCNPLN_12135,HICFFN_11590,PDGMNN_10455,LNCDGL_09225,MOCNOJ_10290,MBAGMH_10080,FCFEDA_12120,KIAGOF_11790,LGENEP_08340,BOACPM_10275,GEHLKP_10045,HGDNEH_12645,KDBOED_11875,CCFJDI_07585,OJCCDD_09450,MLAAMA_15180,OHBKOH_08205,CMGKAF_09830,BMJMLA_08395,OMOEPE_11160,CODKGK_09125,CMJGGH_10510,JAPNBN_09040,GMMDCK_08380
shdA,shdA,fibronectin-binding autotransporter adhesin ShdA,36,36,1.0,4,37,,,,5181,5559,5548.5,PELDJG_10335,IDBKBP_10225,LPINFE_11090,ECBHDB_05075,DADOMI_06925,ELDHGE_10205,MDPJHN_10090,HFNKEK_11375,AIPMEA_09805,AKMJEK_09990,PAKNIB_10040,NPKKGL_10225,NCNPLN_11905,HICFFN_11355,PDGMNN_10225,LNCDGL_08990,MOCNOJ_10055,MBAGMH_09845,FCFEDA_11890,KIAGOF_11555,LGENEP_08110,BOACPM_10040,GEHLKP_09810,HGDNEH_12415,KDBOED_11645,CCFJDI_07355,OJCCDD_09220,MLAAMA_14950,OHBKOH_07975,CMGKAF_09600,BMJMLA_08165,OMOEPE_10925,CODKGK_08890,CMJGGH_10275,JAPNBN_08805,GMMDCK_08150
eutK,eutK,ethanolamine utilization microcompartment protein EutK,36,36,1.0,4,36,,,,495,495,495.0,PELDJG_10900,IDBKBP_10800,LPINFE_11665,ECBHDB_05645,DADOMI_07500,ELDHGE_10780,MDPJHN_10660,HFNKEK_11945,AIPMEA_10380,AKMJEK_10565,PAKNIB_10615,NPKKGL_10800,NCNPLN_12475,HICFFN_11930,PDGMNN_10795,LNCDGL_09565,MOCNOJ_10630,MBAGMH_10420,FCFEDA_12460,KIAGOF_12130,LGENEP_08680,BOACPM_10615,GEHLKP_10385,HGDNEH_12990,KDBOED_12215,CCFJDI_07925,OJCCDD_09790,MLAAMA_15525,OHBKOH_08545,CMGKAF_10170,BMJMLA_08735,OMOEPE_11465,CODKGK_09465,CMJGGH_10855,JAPNBN_09380,GMMDCK_08720
group_1473,,Cytoplasmic protein,36,36,1.0,4,35,,,,231,231,231.0,PELDJG_10805,IDBKBP_10705,LPINFE_11570,ECBHDB_05550,DADOMI_07405,ELDHGE_10685,MDPJHN_10565,HFNKEK_11850,AIPMEA_10285,AKMJEK_10470,PAKNIB_10520,NPKKGL_10705,NCNPLN_12380,HICFFN_11835,PDGMNN_10700,LNCDGL_09470,MOCNOJ_10535,MBAGMH_10325,FCFEDA_12365,KIAGOF_12035,LGENEP_08585,BOACPM_10520,GEHLKP_10290,HGDNEH_12895,KDBOED_12120,CCFJDI_07830,OJCCDD_09695,MLAAMA_15430,OHBKOH_08450,CMGKAF_10075,BMJMLA_08640,OMOEPE_11370,CODKGK_09370,CMJGGH_10760,JAPNBN_09285,GMMDCK_08625
group_1472,,Repressor,36,36,1.0,4,34,,,,597,597,597.0,PELDJG_10420,IDBKBP_10310,LPINFE_11175,ECBHDB_05160,DADOMI_07010,ELDHGE_10290,MDPJHN_10175,HFNKEK_11460,AIPMEA_09890,AKMJEK_10075,PAKNIB_10125,NPKKGL_10310,NCNPLN_11990,HICFFN_11440,PDGMNN_10310,LNCDGL_09075,MOCNOJ_10140,MBAGMH_09930,FCFEDA_11975,KIAGOF_11640,LGENEP_08195,BOACPM_10125,GEHLKP_09895,HGDNEH_12500,KDBOED_11730,CCFJDI_07440,OJCCDD_09305,MLAAMA_15035,OHBKOH_08060,CMGKAF_09685,BMJMLA_08250,OMOEPE_11010,CODKGK_08975,CMJGGH_10360,JAPNBN_08890,GMMDCK_08235
group_1471,,Pyocin large subunit,36,36,1.0,4,33,,,,816,816,816.0,PELDJG_10440,IDBKBP_10330,LPINFE_11195,ECBHDB_05180,DADOMI_07030,ELDHGE_10310,MDPJHN_10195,HFNKEK_11480,AIPMEA_09910,AKMJEK_10095,PAKNIB_10145,NPKKGL_10330,NCNPLN_12010,HICFFN_11460,PDGMNN_10330,LNCDGL_09095,MOCNOJ_10160,MBAGMH_09950,FCFEDA_11995,KIAGOF_11660,LGENEP_08215,BOACPM_10145,GEHLKP_09915,HGDNEH_12520,KDBOED_11750,CCFJDI_07460,OJCCDD_09325,MLAAMA_15055,OHBKOH_08080,CMGKAF_09705,BMJMLA_08270,OMOEPE_11030,CODKGK_08995,CMJGGH_10380,JAPNBN_08910,GMMDCK_08255
group_1470,,Ead/Ea22-like family protein,36,36,1.0,4,32,,,,495,495,495.0,PELDJG_10450,IDBKBP_10340,LPINFE_11205,ECBHDB_05190,DADOMI_07040,ELDHGE_10320,MDPJHN_10205,HFNKEK_11490,AIPMEA_09920,AKMJEK_10105,PAKNIB_10155,NPKKGL_10340,NCNPLN_12020,HICFFN_11470,PDGMNN_10340,LNCDGL_09105,MOCNOJ_10170,MBAGMH_09960,FCFEDA_12005,KIAGOF_11670,LGENEP_08225,BOACPM_10155,GEHLKP_09925,HGDNEH_12530,KDBOED_11760,CCFJDI_07470,OJCCDD_09335,MLAAMA_15065,OHBKOH_08090,CMGKAF_09715,BMJMLA_08280,OMOEPE_11040,CODKGK_09005,CMJGGH_10390,JAPNBN_08920,GMMDCK_08265
group_1469,,Integral membrane protein,36,36,1.0,4,31,,,,405,405,405.0,PELDJG_10610,IDBKBP_10505,LPINFE_11370,ECBHDB_05350,DADOMI_07205,ELDHGE_10485,MDPJHN_10365,HFNKEK_11650,AIPMEA_10085,AKMJEK_10270,PAKNIB_10320,NPKKGL_10505,NCNPLN_12180,HICFFN_11635,PDGMNN_10500,LNCDGL_09270,MOCNOJ_10335,MBAGMH_10125,FCFEDA_12165,KIAGOF_11835,LGENEP_08385,BOACPM_10320,GEHLKP_10090,HGDNEH_12690,KDBOED_11920,CCFJDI_07630,OJCCDD_09495,MLAAMA_15225,OHBKOH_08250,CMGKAF_09875,BMJMLA_08440,OMOEPE_11205,CODKGK_09170,CMJGGH_10555,JAPNBN_09085,GMMDCK_08425
pbp4b,pbp4b,penicillin binding protein PBP4B,36,36,1.0,4,30,,,,1299,1299,1299.0,PELDJG_10790,IDBKBP_10690,LPINFE_11555,ECBHDB_05535,DADOMI_07390,ELDHGE_10670,MDPJHN_10550,HFNKEK_11835,AIPMEA_10270,AKMJEK_10455,PAKNIB_10505,NPKKGL_10690,NCNPLN_12365,HICFFN_11820,PDGMNN_10685,LNCDGL_09455,MOCNOJ_10520,MBAGMH_10310,FCFEDA_12350,KIAGOF_12020,LGENEP_08570,BOACPM_10505,GEHLKP_10275,HGDNEH_12875,KDBOED_12105,CCFJDI_07815,OJCCDD_09680,MLAAMA_15410,OHBKOH_08435,CMGKAF_10060,BMJMLA_08625,OMOEPE_11350,CODKGK_09355,CMJGGH_10740,JAPNBN_09270,GMMDCK_08610
nadB,nadB,L-aspartate oxidase,36,36,1.0,4,29,,,,1623,1623,1623.0,PELDJG_09940,IDBKBP_09830,LPINFE_10695,ECBHDB_04680,DADOMI_06530,ELDHGE_09810,MDPJHN_09695,HFNKEK_10980,AIPMEA_09410,AKMJEK_09595,PAKNIB_09645,NPKKGL_09830,NCNPLN_11510,HICFFN_10960,PDGMNN_09830,LNCDGL_08595,MOCNOJ_09660,MBAGMH_09450,FCFEDA_11495,KIAGOF_11160,LGENEP_07715,BOACPM_09645,GEHLKP_09415,HGDNEH_12020,KDBOED_11250,CCFJDI_06960,OJCCDD_08825,MLAAMA_14555,OHBKOH_07580,CMGKAF_09205,BMJMLA_07770,OMOEPE_20305,CODKGK_08495,CMJGGH_09880,JAPNBN_08410,GMMDCK_07755
asrB,asrB,anaerobic sulfite reductase subunit AsrB,36,36,1.0,4,28,,,,819,819,819.0,PELDJG_10145,IDBKBP_10035,LPINFE_10900,ECBHDB_04885,DADOMI_06735,ELDHGE_10015,MDPJHN_09900,HFNKEK_11185,AIPMEA_09615,AKMJEK_09800,PAKNIB_09850,NPKKGL_10035,NCNPLN_11715,HICFFN_11165,PDGMNN_10035,LNCDGL_08800,MOCNOJ_09865,MBAGMH_09655,FCFEDA_11700,KIAGOF_11365,LGENEP_07920,BOACPM_09850,GEHLKP_09620,HGDNEH_12225,KDBOED_11455,CCFJDI_07165,OJCCDD_09030,MLAAMA_14760,OHBKOH_07785,CMGKAF_09410,BMJMLA_07975,OMOEPE_19425,CODKGK_08700,CMJGGH_10085,JAPNBN_08615,GMMDCK_07960
group_1468,araJ,putative arabinose efflux permease AraJ MFS family,36,36,1.0,4,27,,,,1302,1302,1302.0,PELDJG_09885,IDBKBP_09760,LPINFE_10625,ECBHDB_04610,DADOMI_06460,ELDHGE_09740,MDPJHN_09625,HFNKEK_10910,AIPMEA_09340,AKMJEK_09525,PAKNIB_09575,NPKKGL_09760,NCNPLN_11440,HICFFN_10890,PDGMNN_09760,LNCDGL_08525,MOCNOJ_09590,MBAGMH_09380,FCFEDA_11425,KIAGOF_11090,LGENEP_07645,BOACPM_09575,GEHLKP_09345,HGDNEH_11950,KDBOED_11180,CCFJDI_06890,OJCCDD_08755,MLAAMA_14485,OHBKOH_07510,CMGKAF_09135,BMJMLA_07700,OMOEPE_20375,CODKGK_08425,CMJGGH_09810,JAPNBN_08340,GMMDCK_07685
acrD,acrD,multidrug efflux RND transporter permease AcrD,36,36,1.0,4,26,,,,3114,3114,3114.0,PELDJG_10775,IDBKBP_10675,LPINFE_11540,ECBHDB_05520,DADOMI_07375,ELDHGE_10655,MDPJHN_10535,HFNKEK_11820,AIPMEA_10255,AKMJEK_10440,PAKNIB_10490,NPKKGL_10675,NCNPLN_12350,HICFFN_11805,PDGMNN_10670,LNCDGL_09440,MOCNOJ_10505,MBAGMH_10295,FCFEDA_12335,KIAGOF_12005,LGENEP_08555,BOACPM_10490,GEHLKP_10260,HGDNEH_12860,KDBOED_12090,CCFJDI_07800,OJCCDD_09665,MLAAMA_15395,OHBKOH_08420,CMGKAF_10045,BMJMLA_08610,OMOEPE_11335,CODKGK_09340,CMJGGH_10725,JAPNBN_09255,GMMDCK_08595
group_1467,cysA,sulfate/thiosulfate ABC transporter ATP-binding protein CysA,36,36,1.0,4,25,,,,1098,1098,1098.0,PELDJG_10965,IDBKBP_10865,LPINFE_11730,ECBHDB_05710,DADOMI_07565,ELDHGE_10845,MDPJHN_10725,HFNKEK_12010,AIPMEA_10445,AKMJEK_10630,PAKNIB_10680,NPKKGL_10865,NCNPLN_12540,HICFFN_11995,PDGMNN_10860,LNCDGL_09630,MOCNOJ_10695,MBAGMH_10485,FCFEDA_12525,KIAGOF_12195,LGENEP_08745,BOACPM_10680,GEHLKP_10450,HGDNEH_13055,KDBOED_12280,CCFJDI_07990,OJCCDD_09855,MLAAMA_15590,OHBKOH_08610,CMGKAF_10235,BMJMLA_08800,OMOEPE_11530,CODKGK_09530,CMJGGH_10920,JAPNBN_09445,GMMDCK_08785
group_1466,,Putative exodeoxyribonuclease VIII,36,36,1.0,4,24,,,,822,822,822.0,PELDJG_10395,IDBKBP_10285,LPINFE_11150,ECBHDB_05135,DADOMI_06985,ELDHGE_10265,MDPJHN_10150,HFNKEK_11435,AIPMEA_09865,AKMJEK_10050,PAKNIB_10100,NPKKGL_10285,NCNPLN_11965,HICFFN_11415,PDGMNN_10285,LNCDGL_09050,MOCNOJ_10115,MBAGMH_09905,FCFEDA_11950,KIAGOF_11615,LGENEP_08170,BOACPM_10100,GEHLKP_09870,HGDNEH_12475,KDBOED_11705,CCFJDI_07415,OJCCDD_09280,MLAAMA_15010,OHBKOH_08035,CMGKAF_09660,BMJMLA_08225,OMOEPE_10985,CODKGK_08950,CMJGGH_10335,JAPNBN_08865,GMMDCK_08210
group_1465,,XRE family transcriptional regulator,36,36,1.0,4,23,,,,234,234,234.0,PELDJG_10425,IDBKBP_10315,LPINFE_11180,ECBHDB_05165,DADOMI_07015,ELDHGE_10295,MDPJHN_10180,HFNKEK_11465,AIPMEA_09895,AKMJEK_10080,PAKNIB_10130,NPKKGL_10315,NCNPLN_11995,HICFFN_11445,PDGMNN_10315,LNCDGL_09080,MOCNOJ_10145,MBAGMH_09935,FCFEDA_11980,KIAGOF_11645,LGENEP_08200,BOACPM_10130,GEHLKP_09900,HGDNEH_12505,KDBOED_11735,CCFJDI_07445,OJCCDD_09310,MLAAMA_15040,OHBKOH_08065,CMGKAF_09690,BMJMLA_08255,OMOEPE_11015,CODKGK_08980,CMJGGH_10365,JAPNBN_08895,GMMDCK_08240
group_1464,,putative endoprotease,36,36,1.0,4,22,,,,708,708,708.0,PELDJG_10515,IDBKBP_10410,LPINFE_11275,ECBHDB_05255,DADOMI_07110,ELDHGE_10390,MDPJHN_10270,HFNKEK_11555,AIPMEA_09990,AKMJEK_10175,PAKNIB_10225,NPKKGL_10410,NCNPLN_12085,HICFFN_11540,PDGMNN_10405,LNCDGL_09175,MOCNOJ_10240,MBAGMH_10030,FCFEDA_12070,KIAGOF_11740,LGENEP_08290,BOACPM_10225,GEHLKP_09995,HGDNEH_12595,KDBOED_11825,CCFJDI_07535,OJCCDD_09400,MLAAMA_15130,OHBKOH_08155,CMGKAF_09780,BMJMLA_08345,OMOEPE_11110,CODKGK_09075,CMJGGH_10460,JAPNBN_08990,GMMDCK_08330
group_1463,tal,transaldolase,36,36,1.0,4,21,,,,951,951,951.0,PELDJG_10815,IDBKBP_10715,LPINFE_11580,ECBHDB_05560,DADOMI_07415,ELDHGE_10695,MDPJHN_10575,HFNKEK_11860,AIPMEA_10295,AKMJEK_10480,PAKNIB_10530,NPKKGL_10715,NCNPLN_12390,HICFFN_11845,PDGMNN_10710,LNCDGL_09480,MOCNOJ_10545,MBAGMH_10335,FCFEDA_12375,KIAGOF_12045,LGENEP_08595,BOACPM_10530,GEHLKP_10300,HGDNEH_12905,KDBOED_12130,CCFJDI_07840,OJCCDD_09705,MLAAMA_15440,OHBKOH_08460,CMGKAF_10085,BMJMLA_08650,OMOEPE_11380,CODKGK_09380,CMJGGH_10770,JAPNBN_09295,GMMDCK_08635
eutJ,eutJ,ethanolamine utilization protein EutJ,36,36,1.0,4,20,,,,840,840,840.0,PELDJG_10865,IDBKBP_10765,LPINFE_11630,ECBHDB_05610,DADOMI_07465,ELDHGE_10745,MDPJHN_10625,HFNKEK_11910,AIPMEA_10345,AKMJEK_10530,PAKNIB_10580,NPKKGL_10765,NCNPLN_12440,HICFFN_11895,PDGMNN_10760,LNCDGL_09530,MOCNOJ_10595,MBAGMH_10385,FCFEDA_12425,KIAGOF_12095,LGENEP_08645,BOACPM_10580,GEHLKP_10350,HGDNEH_12955,KDBOED_12180,CCFJDI_07890,OJCCDD_09755,MLAAMA_15490,OHBKOH_08510,CMGKAF_10135,BMJMLA_08700,OMOEPE_11430,CODKGK_09430,CMJGGH_10820,JAPNBN_09345,GMMDCK_08685
